question_text,topic,method,method_reason
10x âˆ’ 10y = âˆ’40; 10x + 4y = 16,Simultaneous Equations,Elimination / Substitution,Linear equations allow either method to reduce the system.
3x + 2y = 23; 2x âˆ’ y = 6,Simultaneous Equations,Elimination / Substitution,The system consists of two linear equations suitable for elimination or substitution.
3x âˆ’ 3y = 9; 2x + y = 12,Simultaneous Equations,Elimination / Substitution,Both equations are linear and can be rearranged to remove one variable.
4x + 2y = 34; 3x + y = 21,Simultaneous Equations,Elimination / Substitution,Linear equations allow one variable to be isolated or eliminated.
9x âˆ’ 4y = 59; 2x âˆ’ y = 12,Simultaneous Equations,Elimination / Substitution,The equations can be scaled to eliminate one variable or solved by substitution.
2x + 8y = 43; x + 3y = 18,Simultaneous Equations,Elimination / Substitution,Linear structure allows elimination or substitution to solve the system.
6x + 3y = 45; 2x âˆ’ 2y = 12,Simultaneous Equations,Elimination / Substitution,The equations are linear and can be simplified to isolate variables.
5x + 4y = 130; x + 6y = 130,Simultaneous Equations,Elimination / Substitution,Both equations can be rearranged to eliminate or substitute variables.
10x âˆ’ 15y = 25; x âˆ’ 2y = 1,Simultaneous Equations,Elimination / Substitution,Linear equations allow direct elimination or substitution.
3x + 8y = 97; 2x + 4y = 58,Simultaneous Equations,Elimination / Substitution,The equations are linear and can be reduced using either method.
x + y = 3; 4x + 3y = 10,Simultaneous Equations,Elimination / Substitution,Two linear equations with two unknowns can be solved by elimination or substitution.
2x + 4y = 2; 5x âˆ’ 3y = 18,Simultaneous Equations,Elimination / Substitution,"The system is linear, allowing either elimination or substitution."
Share Â£700 in the ratio 5 : 3 : 2,Ratio,Unitary method; Fraction method,"The unitary method finds the value of one part before scaling, while the fraction method uses fractions of the total based on the ratio."
Divide Â£945 in the ratio 2 : 5,Ratio,Unitary method; Fraction method,Both methods work because the total is split into parts proportional to the ratio.
Share Â£480 in the ratio 3 : 5,Ratio,Unitary method; Fraction method,You can either find one unit first or convert the ratio into fractions of the whole.
Share Â£360 in the ratio 4 : 5,Ratio,Unitary method; Fraction method,"The ratio represents equal parts, allowing either unit-based or fraction-based solving."
Divide Â£840 in the ratio 7 : 5,Ratio,Unitary method; Fraction method,Both methods rely on the total number of ratio parts adding up to the whole.
Share Â£600 in the ratio 1 : 2 : 3,Ratio,Unitary method; Fraction method,"Each part is proportional, so either method gives the same final values."
Divide Â£750 in the ratio 3 : 2,Ratio,Unitary method; Fraction method,The ratio can be solved by finding one part or by using fractions of the total.
Share Â£900 in the ratio 5 : 4,Ratio,Unitary method; Fraction method,Both approaches split the total accurately according to the ratio.
Divide Â£660 in the ratio 2 : 3,Ratio,Unitary method; Fraction method,"The total is shared in proportional parts, making both methods suitable."
Share Â£540 in the ratio 4 : 5,Ratio,Unitary method; Fraction method,Ratios represent proportional parts that can be solved using either method.
Divide Â£810 in the ratio 1 : 2,Ratio,Unitary method; Fraction method,"The ratio gives the relationship between parts, allowing flexible solving methods."
Share Â£720 in the ratio 3 : 5,Ratio,Unitary method; Fraction method,Both methods correctly allocate the total based on proportional parts.
Divide Â£960 in the ratio 7 : 9,Ratio,Unitary method; Fraction method,The total number of parts determines each share in both approaches.
Share Â£880 in the ratio 5 : 6,Ratio,Unitary method; Fraction method,Using either units or fractions leads to the same proportional result.
Alex and Thomas share 30 sweets in the ratio 3 : 2. How many do they each get?,Ratio,Unitary method; Fraction method,Both methods work by splitting the total number of sweets according to the ratio.
Sarah and Ben share 40 chocolates in the ratio 1 : 3. How many does each get?,Ratio,Unitary method; Fraction method,The ratio shows how the total is divided proportionally between them.
Amina and John share Â£50 in the ratio 2 : 3. How much does each receive?,Ratio,Unitary method; Fraction method,"Each share is proportional, allowing unitary or fraction-based solving."
Two friends share 60 marbles in the ratio 4 : 1. How many does each get?,Ratio,Unitary method; Fraction method,The ratio defines the relative sizes of each share.
Lisa and Tom share 90 stickers in the ratio 5 : 4. How many does each get?,Ratio,Unitary method; Fraction method,Both methods correctly distribute the stickers based on proportional parts.
James and Noah share Â£84 in the ratio 3 : 4. How much does each get?,Ratio,Unitary method; Fraction method,"The total is divided into equal ratio parts, suitable for both methods."
Emma and Olivia share 70 pencils in the ratio 2 : 5. How many does each get?,Ratio,Unitary method; Fraction method,Ratios allow flexible approaches such as unitary or fraction methods.
Two siblings share Â£120 in the ratio 7 : 5. How much does each receive?,Ratio,Unitary method; Fraction method,The proportional relationship makes both solving methods valid.
Adam and Leo share 45 sweets in the ratio 4 : 5. How many does each get?,Ratio,Unitary method; Fraction method,The ratio determines each share as a fraction or multiple of one unit.
"Find the next 2 terms: 2, 6, 18",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 3, 12, 48",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 5, 25, 125",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 8, 12, 18",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 3, 7.5, 18.75",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 100, 50, 25",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 4, 16, 64",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 7, 21, 63",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 9, 27, 81",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 1, 5, 25",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 6, 18, 54",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 10, 20, 40",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 12, 6, 3",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 2, 10, 50",Sequences (Geometric Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),A geometric progression has a constant ratio between consecutive terms. The nth term formula (aÂ·r^(nâˆ’1)) or repeated multiplication can be used.
"Find the next 2 terms: 2, 5, 8",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 7, 11, 15",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 10, 20, 30",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 3, 9, 15",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 50, 45, 40",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 4, 12, 20",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 1, 4, 7",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 6, 14, 22",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 100, 90, 80",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 5, 15, 25",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 13, 18, 23",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
"Find the next 2 terms: 30, 25, 20",Sequences (Arithmetic Progression),Formula Method (Standard nth term formula); Iteration Method (Building Term by Term),An arithmetic progression has a constant difference between consecutive terms. The nth term formula (a + (nâˆ’1)d) or repeated addition can be used.
